year,geo_code,county,total_households,households_100k _to_149999k,households_150k_ to_199999k,households_200k_or_more,percent_wealthy_households ,total_wealthy_households
2018,0500000US01001,"Autauga County, Alabama",21115,0.17,0.06,0.03,0.25,5321
2018,0500000US01003,"Baldwin County, Alabama",78622,0.14,0.06,0.05,0.24,19027
2018,0500000US01005,"Barbour County, Alabama",9186,0.09,0.01,0.01,0.12,1084
2018,0500000US01007,"Bibb County, Alabama",6840,0.10,0.03,0.02,0.15,1026
2018,0500000US01009,"Blount County, Alabama",20600,0.11,0.04,0.02,0.16,3296
2018,0500000US01011,"Bullock County, Alabama",3609,0.10,0.01,0.02,0.13,455
2018,0500000US01013,"Butler County, Alabama",6708,0.09,0.02,0.02,0.12,818
2018,0500000US01015,"Calhoun County, Alabama",45033,0.11,0.03,0.02,0.16,7295
2018,0500000US01017,"Chambers County, Alabama",13516,0.08,0.02,0.01,0.12,1581
2018,0500000US01019,"Cherokee County, Alabama",10606,0.08,0.03,0.02,0.13,1379
2018,0500000US01021,"Chilton County, Alabama",16751,0.10,0.04,0.02,0.16,2697
2018,0500000US01023,"Choctaw County, Alabama",5350,0.09,0.04,0.01,0.15,797
2018,0500000US01025,"Clarke County, Alabama",9358,0.09,0.03,0.02,0.14,1348
2018,0500000US01027,"Clay County, Alabama",5236,0.11,0.02,0.03,0.15,780
2018,0500000US01029,"Cleburne County, Alabama",5726,0.10,0.03,0.01,0.14,807
2018,0500000US01031,"Coffee County, Alabama",19789,0.15,0.04,0.03,0.22,4373
2018,0500000US01033,"Colbert County, Alabama",21799,0.10,0.03,0.02,0.15,3357
2018,0500000US01035,"Conecuh County, Alabama",4574,0.05,0.01,0.01,0.06,293
2018,0500000US01037,"Coosa County, Alabama",4103,0.06,0.03,0.02,0.12,492
2018,0500000US01039,"Covington County, Alabama",15008,0.09,0.03,0.02,0.14,2086
2018,0500000US01041,"Crenshaw County, Alabama",5025,0.10,0.02,0.02,0.14,698
2018,0500000US01043,"Cullman County, Alabama",30730,0.10,0.03,0.02,0.15,4610
2018,0500000US01045,"Dale County, Alabama",18670,0.11,0.03,0.02,0.16,3006
2018,0500000US01047,"Dallas County, Alabama",16336,0.07,0.02,0.02,0.11,1748
2018,0500000US01049,"DeKalb County, Alabama",26132,0.09,0.02,0.02,0.13,3267
2018,0500000US01051,"Elmore County, Alabama",29143,0.17,0.04,0.04,0.25,7140
2018,0500000US01053,"Escambia County, Alabama",13428,0.07,0.03,0.01,0.11,1437
2018,0500000US01055,"Etowah County, Alabama",38777,0.11,0.02,0.02,0.15,5894
2018,0500000US01057,"Fayette County, Alabama",6947,0.06,0.03,0.01,0.10,681
2018,0500000US01059,"Franklin County, Alabama",11210,0.06,0.02,0.01,0.10,1076
2018,0500000US01061,"Geneva County, Alabama",10479,0.09,0.01,0.01,0.11,1174
2018,0500000US01063,"Greene County, Alabama",2955,0.04,0.02,0.00,0.05,157
2018,0500000US01065,"Hale County, Alabama",5658,0.07,0.02,0.02,0.11,634
2018,0500000US01067,"Henry County, Alabama",6669,0.11,0.04,0.01,0.16,1047
2018,0500000US01069,"Houston County, Alabama",39253,0.11,0.04,0.04,0.18,7105
2018,0500000US01071,"Jackson County, Alabama",20626,0.09,0.01,0.02,0.12,2454
2018,0500000US01073,"Jefferson County, Alabama",260924,0.13,0.05,0.06,0.23,60273
2018,0500000US01075,"Lamar County, Alabama",5974,0.11,0.02,0.01,0.13,789
2018,0500000US01077,"Lauderdale County, Alabama",38514,0.11,0.03,0.03,0.17,6432
2018,0500000US01079,"Lawrence County, Alabama",12811,0.12,0.04,0.01,0.17,2191
2018,0500000US01081,"Lee County, Alabama",59373,0.12,0.05,0.04,0.22,12825
2018,0500000US01083,"Limestone County, Alabama",32126,0.14,0.06,0.05,0.25,7871
2018,0500000US01085,"Lowndes County, Alabama",4180,0.09,0.01,0.01,0.12,489
2018,0500000US01087,"Macon County, Alabama",7637,0.07,0.03,0.01,0.12,901
2018,0500000US01089,"Madison County, Alabama",145256,0.16,0.08,0.07,0.31,44594
2018,0500000US01091,"Marengo County, Alabama",7768,0.09,0.03,0.01,0.13,1010
2018,0500000US01093,"Marion County, Alabama",12212,0.09,0.01,0.02,0.12,1514
2018,0500000US01095,"Marshall County, Alabama",34896,0.11,0.03,0.03,0.17,5828
2018,0500000US01097,"Mobile County, Alabama",155831,0.11,0.04,0.03,0.18,28205
2018,0500000US01099,"Monroe County, Alabama",8149,0.09,0.02,0.02,0.13,1035
2018,0500000US01101,"Montgomery County, Alabama",89835,0.12,0.04,0.04,0.20,18057
2018,0500000US01103,"Morgan County, Alabama",45646,0.12,0.04,0.03,0.18,8308
2018,0500000US01105,"Perry County, Alabama",3079,0.05,0.01,0.00,0.07,209
2018,0500000US01107,"Pickens County, Alabama",7530,0.09,0.02,0.02,0.14,1047
2018,0500000US01109,"Pike County, Alabama",11547,0.08,0.04,0.02,0.14,1605
2018,0500000US01111,"Randolph County, Alabama",8643,0.09,0.02,0.02,0.13,1080
2018,0500000US01113,"Russell County, Alabama",22740,0.08,0.03,0.02,0.13,2865
2018,0500000US01115,"St. Clair County, Alabama",32172,0.13,0.05,0.02,0.20,6274
2018,0500000US01117,"Shelby County, Alabama",78328,0.20,0.08,0.08,0.36,28198
2018,0500000US01119,"Sumter County, Alabama",5047,0.05,0.01,0.01,0.07,353
2018,0500000US01121,"Talladega County, Alabama",31407,0.09,0.03,0.01,0.13,3957
2018,0500000US01123,"Tallapoosa County, Alabama",16448,0.10,0.03,0.02,0.15,2451
2018,0500000US01125,"Tuscaloosa County, Alabama",72379,0.13,0.05,0.04,0.21,15417
2018,0500000US01127,"Walker County, Alabama",25036,0.10,0.02,0.02,0.14,3605
2018,0500000US01129,"Washington County, Alabama",6007,0.08,0.03,0.01,0.13,787
2018,0500000US01131,"Wilcox County, Alabama",3804,0.04,0.01,0.02,0.07,278
2018,0500000US01133,"Winston County, Alabama",9403,0.07,0.02,0.01,0.10,940
2018,0500000US02013,"Aleutians East Borough, Alaska",860,0.17,0.07,0.06,0.30,256
2018,0500000US02016,"Aleutians West Census Area, Alaska",1176,0.21,0.09,0.10,0.40,473
2018,0500000US02020,"Anchorage Municipality, Alaska",106524,0.20,0.10,0.10,0.41,43675
2018,0500000US02050,"Bethel Census Area, Alaska",4558,0.15,0.07,0.04,0.26,1162
2018,0500000US02060,"Bristol Bay Borough, Alaska",333,0.21,0.11,0.08,0.39,131
2018,0500000US02068,"Denali Borough, Alaska",639,0.28,0.08,0.03,0.38,245
2018,0500000US02070,"Dillingham Census Area, Alaska",1420,0.15,0.07,0.04,0.25,359
2018,0500000US02090,"Fairbanks North Star Borough, Alaska",36513,0.19,0.10,0.07,0.36,12999
2018,0500000US02100,"Haines Borough, Alaska",1026,0.21,0.02,0.06,0.29,295
2018,0500000US02105,"Hoonah-Angoon Census Area, Alaska",799,0.13,0.08,0.03,0.24,194
2018,0500000US02110,"Juneau City and Borough, Alaska",12521,0.24,0.11,0.09,0.44,5459
2018,0500000US02122,"Kenai Peninsula Borough, Alaska",21741,0.18,0.08,0.06,0.32,6935
2018,0500000US02130,"Ketchikan Gateway Borough, Alaska",5327,0.18,0.08,0.06,0.32,1694
2018,0500000US02150,"Kodiak Island Borough, Alaska",4373,0.26,0.06,0.05,0.37,1622
2018,0500000US02158,"Kusilvak Census Area, Alaska",1692,0.06,0.03,0.01,0.10,161
2018,0500000US02164,"Lake and Peninsula Borough, Alaska",425,0.08,0.04,0.02,0.14,61
