year,geo_code,county,total_households,households_100k_to_149999k,households_150k_to_199999k,households_200k_or_more,percent_wealthy_households,total_wealthy_households
2022,0500000US01001,"Autauga County, Alabama",22308,0.18,0.07,0.07,0.32,7139
2022,0500000US01003,"Baldwin County, Alabama",90802,0.17,0.08,0.09,0.34,30509
2022,0500000US01005,"Barbour County, Alabama",9016,0.11,0.03,0.04,0.18,1578
2022,0500000US01007,"Bibb County, Alabama",7216,0.12,0.03,0.04,0.19,1357
2022,0500000US01009,"Blount County, Alabama",21626,0.15,0.06,0.05,0.27,5753
2022,0500000US01011,"Bullock County, Alabama",3450,0.12,0.02,0.02,0.16,549
2022,0500000US01013,"Butler County, Alabama",7131,0.09,0.06,0.03,0.19,1319
2022,0500000US01015,"Calhoun County, Alabama",44693,0.14,0.04,0.03,0.22,9788
2022,0500000US01017,"Chambers County, Alabama",13143,0.11,0.04,0.04,0.19,2484
2022,0500000US01019,"Cherokee County, Alabama",9997,0.12,0.04,0.03,0.19,1869
2022,0500000US01021,"Chilton County, Alabama",16931,0.15,0.05,0.03,0.23,3877
2022,0500000US01023,"Choctaw County, Alabama",5228,0.14,0.04,0.03,0.21,1072
2022,0500000US01025,"Clarke County, Alabama",8188,0.12,0.05,0.04,0.21,1695
2022,0500000US01027,"Clay County, Alabama",5485,0.13,0.07,0.02,0.21,1174
2022,0500000US01029,"Cleburne County, Alabama",5761,0.13,0.04,0.03,0.2,1123
2022,0500000US01031,"Coffee County, Alabama",20363,0.18,0.07,0.05,0.3,6027
2022,0500000US01033,"Colbert County, Alabama",23266,0.14,0.05,0.04,0.23,5305
2022,0500000US01035,"Conecuh County, Alabama",4453,0.12,0.01,0.03,0.16,712
2022,0500000US01037,"Coosa County, Alabama",3999,0.16,0.04,0.02,0.22,860
2022,0500000US01039,"Covington County, Alabama",14194,0.13,0.04,0.05,0.21,3009
2022,0500000US01041,"Crenshaw County, Alabama",4839,0.1,0.05,0.04,0.2,948
2022,0500000US01043,"Cullman County, Alabama",33649,0.14,0.06,0.05,0.24,8177
2022,0500000US01045,"Dale County, Alabama",19400,0.13,0.05,0.03,0.21,4035
2022,0500000US01047,"Dallas County, Alabama",14753,0.09,0.04,0.02,0.14,2095
2022,0500000US01049,"DeKalb County, Alabama",25690,0.12,0.04,0.03,0.18,4624
2022,0500000US01051,"Elmore County, Alabama",32184,0.18,0.08,0.06,0.32,10267
2022,0500000US01053,"Escambia County, Alabama",13022,0.08,0.04,0.02,0.15,1888
2022,0500000US01055,"Etowah County, Alabama",38791,0.13,0.05,0.03,0.22,8340
2022,0500000US01057,"Fayette County, Alabama",6143,0.14,0.03,0.04,0.21,1272
2022,0500000US01059,"Franklin County, Alabama",11239,0.11,0.06,0.02,0.18,2034
2022,0500000US01061,"Geneva County, Alabama",10391,0.12,0.04,0.03,0.19,1922
2022,0500000US01063,"Greene County, Alabama",2872,0.05,0.01,0.03,0.1,276
2022,0500000US01065,"Hale County, Alabama",5403,0.1,0.03,0.03,0.16,870
2022,0500000US01067,"Henry County, Alabama",6686,0.17,0.06,0.03,0.26,1745
2022,0500000US01069,"Houston County, Alabama",41543,0.13,0.06,0.06,0.25,10469
2022,0500000US01071,"Jackson County, Alabama",20670,0.12,0.04,0.04,0.2,4072
2022,0500000US01073,"Jefferson County, Alabama",265794,0.14,0.07,0.09,0.31,81599
2022,0500000US01075,"Lamar County, Alabama",5168,0.16,0.04,0.02,0.22,1111
2022,0500000US01077,"Lauderdale County, Alabama",38237,0.12,0.08,0.04,0.24,9062
2022,0500000US01079,"Lawrence County, Alabama",12829,0.12,0.04,0.06,0.22,2771
2022,0500000US01081,"Lee County, Alabama",65166,0.16,0.07,0.07,0.3,19419
2022,0500000US01083,"Limestone County, Alabama",38572,0.18,0.11,0.09,0.38,14696
2022,0500000US01085,"Lowndes County, Alabama",4001,0.09,0.04,0.03,0.15,604
2022,0500000US01087,"Macon County, Alabama",7131,0.1,0.03,0.03,0.15,1098
2022,0500000US01089,"Madison County, Alabama",159569,0.17,0.1,0.12,0.39,62551
2022,0500000US01091,"Marengo County, Alabama",7379,0.11,0.05,0.04,0.19,1409
2022,0500000US01093,"Marion County, Alabama",11018,0.12,0.02,0.03,0.17,1862
2022,0500000US01095,"Marshall County, Alabama",35930,0.14,0.06,0.06,0.25,9054
2022,0500000US01097,"Mobile County, Alabama",159605,0.14,0.06,0.05,0.25,39901
2022,0500000US01099,"Monroe County, Alabama",7298,0.1,0.04,0.02,0.16,1168
2022,0500000US01101,"Montgomery County, Alabama",89721,0.14,0.06,0.05,0.26,22879
2022,0500000US01103,"Morgan County, Alabama",48004,0.16,0.08,0.06,0.3,14209
2022,0500000US01105,"Perry County, Alabama",3075,0.05,0.02,0,0.07,206
2022,0500000US01107,"Pickens County, Alabama",7083,0.11,0.06,0.03,0.2,1395
2022,0500000US01109,"Pike County, Alabama",11996,0.13,0.05,0.03,0.22,2579
2022,0500000US01111,"Randolph County, Alabama",8729,0.15,0.04,0.04,0.22,1929
2022,0500000US01113,"Russell County, Alabama",23462,0.1,0.04,0.03,0.18,4153
2022,0500000US01115,"St. Clair County, Alabama",33838,0.22,0.06,0.05,0.33,11268
2022,0500000US01117,"Shelby County, Alabama",83776,0.21,0.12,0.13,0.46,38369
2022,0500000US01119,"Sumter County, Alabama",4798,0.08,0.02,0.01,0.12,552
2022,0500000US01121,"Talladega County, Alabama",32359,0.13,0.06,0.03,0.22,7184
2022,0500000US01123,"Tallapoosa County, Alabama",16438,0.11,0.05,0.04,0.21,3370
2022,0500000US01125,"Tuscaloosa County, Alabama",84743,0.16,0.07,0.06,0.29,24745
2022,0500000US01127,"Walker County, Alabama",24718,0.15,0.05,0.03,0.23,5562
2022,0500000US01129,"Washington County, Alabama",5506,0.17,0.08,0.07,0.32,1756
2022,0500000US01131,"Wilcox County, Alabama",3579,0.08,0.04,0.01,0.12,440
2022,0500000US01133,"Winston County, Alabama",9103,0.12,0.03,0.04,0.19,1730
2022,0500000US02013,"Aleutians East Borough, Alaska",899,0.25,0.12,0.03,0.4,358
2022,0500000US02016,"Aleutians West Census Area, Alaska",969,0.27,0.1,0.13,0.5,488
2022,0500000US02020,"Anchorage Municipality, Alaska",107134,0.21,0.13,0.14,0.48,51210
2022,0500000US02050,"Bethel Census Area, Alaska",4565,0.14,0.1,0.07,0.32,1438
2022,0500000US02060,"Bristol Bay Borough, Alaska",284,0.22,0.12,0.13,0.47,132
2022,0500000US02063,"Chugach Census Area, Alaska",2755,0.22,0.09,0.11,0.42,1152
2022,0500000US02066,"Copper River Census Area, Alaska",1090,0.24,0.04,0.08,0.36,396
2022,0500000US02068,"Denali Borough, Alaska",525,0.12,0.2,0.07,0.4,210
2022,0500000US02070,"Dillingham Census Area, Alaska",1384,0.17,0.11,0.06,0.33,454
2022,0500000US02090,"Fairbanks North Star Borough, Alaska",35824,0.18,0.1,0.13,0.4,14437
2022,0500000US02100,"Haines Borough, Alaska",786,0.23,0.05,0.04,0.32,250
2022,0500000US02105,"Hoonah-Angoon Census Area, Alaska",867,0.11,0.1,0.06,0.27,234
2022,0500000US02110,"Juneau City and Borough, Alaska",13017,0.2,0.12,0.15,0.47,6170
2022,0500000US02122,"Kenai Peninsula Borough, Alaska",23201,0.19,0.09,0.1,0.37,8584
2022,0500000US02130,"Ketchikan Gateway Borough, Alaska",5568,0.18,0.11,0.11,0.41,2288
2022,0500000US02150,"Kodiak Island Borough, Alaska",4415,0.28,0.09,0.09,0.46,2018
2022,0500000US02158,"Kusilvak Census Area, Alaska",1864,0.09,0.03,0.02,0.15,276
2022,0500000US02164,"Lake and Peninsula Borough, Alaska",326,0.16,0.09,0.02,0.26,85
2022,0500000US02170,"Matanuska-Susitna Borough, Alaska",39290,0.21,0.11,0.11,0.43,16738
2022,0500000US02180,"Nome Census Area, Alaska",2786,0.17,0.07,0.1,0.34,947
2022,0500000US02185,"North Slope Borough, Alaska",2168,0.2,0.06,0.18,0.43,939
2022,0500000US02188,"Northwest Arctic Borough, Alaska",1776,0.17,0.11,0.1,0.38,673
2022,0500000US02195,"Petersburg Borough, Alaska",1254,0.14,0.08,0.11,0.33,408
2022,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",2334,0.15,0.1,0.04,0.29,670
2022,0500000US02220,"Sitka City and Borough, Alaska",3459,0.26,0.1,0.09,0.46,1574
2022,0500000US02230,"Skagway Municipality, Alaska",410,0.22,0.09,0.05,0.35,144
2022,0500000US02240,"Southeast Fairbanks Census Area, Alaska",2189,0.21,0.06,0.07,0.34,740
2022,0500000US02275,"Wrangell City and Borough, Alaska",928,0.15,0.06,0.05,0.26,245
2022,0500000US02282,"Yakutat City and Borough, Alaska",231,0.28,0.08,0.02,0.38,87
2022,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",2078,0.12,0.05,0.03,0.2,405
2022,0500000US04001,"Apache County, Arizona",19786,0.1,0.04,0.02,0.15,3027
2022,0500000US04003,"Cochise County, Arizona",49680,0.15,0.08,0.04,0.26,13016
2022,0500000US04005,"Coconino County, Arizona",51993,0.17,0.08,0.08,0.32,16742
2022,0500000US04007,"Gila County, Arizona",22714,0.12,0.05,0.04,0.21,4770
2022,0500000US04009,"Graham County, Arizona",12018,0.14,0.07,0.03,0.24,2908
2022,0500000US04011,"Greenlee County, Arizona",3304,0.19,0.04,0.04,0.27,902
2022,0500000US04012,"La Paz County, Arizona",8911,0.1,0.05,0.03,0.17,1515
2022,0500000US04013,"Maricopa County, Arizona",1665560,0.19,0.1,0.11,0.39,656231
2022,0500000US04015,"Mohave County, Arizona",95169,0.13,0.04,0.04,0.21,20271
2022,0500000US04017,"Navajo County, Arizona",37565,0.13,0.05,0.02,0.2,7588
2022,0500000US04019,"Pima County, Arizona",423075,0.15,0.07,0.08,0.3,127769
2022,0500000US04021,"Pinal County, Arizona",151490,0.19,0.08,0.06,0.33,50446
2022,0500000US04023,"Santa Cruz County, Arizona",16651,0.14,0.05,0.04,0.22,3697
2022,0500000US04025,"Yavapai County, Arizona",106542,0.15,0.06,0.06,0.27,29193
2022,0500000US04027,"Yuma County, Arizona",74678,0.13,0.05,0.04,0.22,16579
2022,0500000US05001,"Arkansas County, Arkansas",6559,0.14,0.05,0.03,0.22,1417
2022,0500000US05003,"Ashley County, Arkansas",7194,0.12,0.02,0.02,0.17,1194
2022,0500000US05005,"Baxter County, Arkansas",19021,0.09,0.03,0.04,0.16,3100
2022,0500000US05007,"Benton County, Arkansas",104164,0.2,0.09,0.13,0.41,42916
2022,0500000US05009,"Boone County, Arkansas",15172,0.1,0.05,0.03,0.19,2822
2022,0500000US05011,"Bradley County, Arkansas",3587,0.09,0.06,0.01,0.16,563
2022,0500000US05013,"Calhoun County, Arkansas",1498,0.12,0.07,0,0.18,276
2022,0500000US05015,"Carroll County, Arkansas",11357,0.13,0.05,0.04,0.21,2362
2022,0500000US05017,"Chicot County, Arkansas",4008,0.05,0.03,0.06,0.14,565
2022,0500000US05019,"Clark County, Arkansas",7955,0.13,0.03,0.03,0.19,1503
2022,0500000US05021,"Clay County, Arkansas",6063,0.1,0.02,0.03,0.16,958
2022,0500000US05023,"Cleburne County, Arkansas",10626,0.1,0.04,0.05,0.19,2040
2022,0500000US05025,"Cleveland County, Arkansas",2742,0.17,0.06,0.03,0.26,702
2022,0500000US05027,"Columbia County, Arkansas",7826,0.11,0.05,0.05,0.21,1636
2022,0500000US05029,"Conway County, Arkansas",8422,0.11,0.05,0.03,0.19,1609
2022,0500000US05031,"Craighead County, Arkansas",42351,0.16,0.05,0.06,0.26,11181
2022,0500000US05033,"Crawford County, Arkansas",22731,0.14,0.04,0.04,0.23,5137
2022,0500000US05035,"Crittenden County, Arkansas",18587,0.14,0.03,0.04,0.22,4033
2022,0500000US05037,"Cross County, Arkansas",6564,0.14,0.04,0.04,0.22,1438
2022,0500000US05039,"Dallas County, Arkansas",2289,0.15,0.03,0.01,0.2,453
2022,0500000US05041,"Desha County, Arkansas",4603,0.07,0.02,0.03,0.11,511
2022,0500000US05043,"Drew County, Arkansas",6913,0.12,0.05,0.04,0.21,1472
2022,0500000US05045,"Faulkner County, Arkansas",47396,0.16,0.07,0.05,0.28,13318
2022,0500000US05047,"Franklin County, Arkansas",6705,0.11,0.02,0.03,0.17,1126
2022,0500000US05049,"Fulton County, Arkansas",4780,0.1,0.04,0.01,0.15,717
2022,0500000US05051,"Garland County, Arkansas",43220,0.13,0.06,0.03,0.22,9336
2022,0500000US05053,"Grant County, Arkansas",6856,0.17,0.07,0.05,0.3,2057
2022,0500000US05055,"Greene County, Arkansas",17741,0.13,0.06,0.02,0.21,3690
2022,0500000US05057,"Hempstead County, Arkansas",7355,0.1,0.04,0.04,0.17,1250
2022,0500000US05059,"Hot Spring County, Arkansas",11900,0.16,0.04,0.02,0.22,2582
2022,0500000US05061,"Howard County, Arkansas",5224,0.11,0.02,0.03,0.16,841
2022,0500000US05063,"Independence County, Arkansas",14417,0.12,0.05,0.03,0.2,2883
2022,0500000US05065,"Izard County, Arkansas",4850,0.09,0.05,0.03,0.16,795
2022,0500000US05067,"Jackson County, Arkansas",6116,0.09,0.02,0.03,0.14,856
2022,0500000US05069,"Jefferson County, Arkansas",24278,0.11,0.05,0.03,0.19,4540
2022,0500000US05071,"Johnson County, Arkansas",9899,0.08,0.03,0.02,0.13,1297
